event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
DEPARTURE,2024-03-24 08:41:00,,2024-03-24 08:41:30,0,,,false,2,00000,2024-03-24 08:41:00,false,AUTOMATIC,,,60,false,062V43MC24,false,ON TIME,13560015,60,06365,true,DOWN,DOWN,DEPARTURE,06362,
DEPARTURE,2024-03-24 08:41:00,,2024-03-24 08:41:30,0,,,false,2,00000,2024-03-24 08:41:00,false,AUTOMATIC,, 2,60,false,042H03MC24,false,ON TIME,13560015,60,06710,true,DOWN,DOWN,DEPARTURE,06707,M
ARRIVAL,2024-03-24 08:43:00,,2024-03-24 08:43:00,1,,,true,2,87214,2024-03-24 08:42:00,false,AUTOMATIC,, 8,84,false,872F15MD24,false,EARLY,24673605,84,87214,true,DOWN,DOWN,ARRIVAL,87219,
ARRIVAL,,,2024-03-24 07:57:30,45,,,true,1,87004,2024-03-24 08:42:00,false,AUTOMATIC,IBZ,,09,false,876Y831B24,false,LATE,54606571,09,87004,true,,,ARRIVAL,87002,
ARRIVAL,2024-03-24 08:44:00,,2024-03-24 08:44:00,1,,,true,,55247,2024-03-24 08:43:00,false,AUTOMATIC,, 4,28,true,572A19MC24,false,EARLY,22275000,28,55247,true,DOWN,DOWN,DESTINATION,,
ARRIVAL,2024-03-24 08:44:00,,2024-03-24 08:44:00,2,,,false,2,00000,2024-03-24 08:42:00,false,AUTOMATIC,,,30,false,722C12MC24,false,EARLY,22216000,30,72031,true,UP,UP,ARRIVAL,72033,
DEPARTURE,,,2024-03-24 08:42:00,1,,,true,1,87701,2024-03-24 08:41:00,false,AUTOMATIC,, 4,88,false,871U25MC24,false,EARLY,24969000,88,87701,true,UP,UP,DEPARTURE,87700,F
DEPARTURE,,,2024-03-24 08:42:30,1,,,true,3,87704,2024-03-24 08:41:00,false,AUTOMATIC,, 4,88,false,871H10MC24,false,EARLY,24746000,88,87704,true,DOWN,DOWN,DEPARTURE,87801,
DEPARTURE,2024-03-24 08:41:00,,2024-03-24 08:41:00,1,,,false,1,00000,2024-03-24 08:40:00,false,AUTOMATIC,, 2,88,false,871S12MD24,false,EARLY,24744000,88,87987,true,DOWN,DOWN,DEPARTURE,87988,
ARRIVAL,2024-03-24 08:43:00,,2024-03-24 08:42:30,0,,,false,1,00000,2024-03-24 08:42:00,false,AUTOMATIC,, 2,88,false,871S12MD24,false,ON TIME,24744000,88,87988,true,DOWN,DOWN,ARRIVAL,87991,
DEPARTURE,,,2024-03-24 08:47:30,6,,,true,3,70306,2024-03-24 08:41:00,false,AUTOMATIC,, 3,65,false,721H63MC24,false,EARLY,22108001,65,70306,true,DOWN,DOWN,DEPARTURE,70265,S
DEPARTURE,,,2024-03-24 08:42:00,0,,,false,1,00000,2024-03-24 08:42:00,false,AUTOMATIC,,,29,false,662S98MD24,false,ON TIME,22254000,29,66421,true,UP,UP,DEPARTURE,66460,S
DEPARTURE,2024-03-24 08:41:00,,2024-03-24 08:41:30,0,,,false,2,00000,2024-03-24 08:41:00,false,AUTOMATIC,, 1,80,false,882U62MC24,false,ON TIME,24650005,80,88419,true,UP,UP,DEPARTURE,88420,
DEPARTURE,2024-03-24 08:45:00,,2024-03-24 08:45:00,4,,,true,2,15449,2024-03-24 08:41:00,false,AUTOMATIC,, 2,23,false,152D98MD24,false,EARLY,21801000,23,15449,true,UP,UP,DEPARTURE,15619,D
ARRIVAL,2024-03-24 08:44:00,,2024-03-24 08:43:30,0,,,false,1,00000,2024-03-24 08:43:00,false,AUTOMATIC,, 2,80,false,882V06MC24,false,ON TIME,24653005,80,88325,true,DOWN,DOWN,ARRIVAL,88327,
DEPARTURE,2024-03-24 08:41:00,,2024-03-24 08:41:30,0,,,false,3,00000,2024-03-24 08:41:00,false,AUTOMATIC,, 2,23,false,322A99MD24,false,ON TIME,12233820,23,32526,true,UP,UP,DEPARTURE,32529,
ARRIVAL,2024-03-24 08:42:00,,2024-03-24 08:42:00,1,,,false,1,00000,2024-03-24 08:43:00,false,AUTOMATIC,, 1,64,false,352U12MC24,false,LATE,12302012,64,36064,true,UP,UP,ARRIVAL,36065,
DEPARTURE,2024-03-24 08:39:00,,2024-03-24 08:39:30,2,,,false,2,00000,2024-03-24 08:41:00,false,AUTOMATIC,, 2,64,false,382Y05MB24,false,LATE,22306003,64,38202,true,DOWN,DOWN,DEPARTURE,38201,
ARRIVAL,2024-03-24 08:32:00,,2024-03-24 08:32:00,10,,,true,1,73663,2024-03-24 08:42:00,false,AUTOMATIC,, 2,33,false,739U31MC24,false,LATE,21381202,33,73663,true,UP,UP,ARRIVAL,73665,
DEPARTURE,2024-03-24 08:42:00,,2024-03-24 08:42:00,1,,,true,2,87637,2024-03-24 08:41:00,false,AUTOMATIC,, 2,88,false,872B23MC24,false,EARLY,24782000,88,87637,true,UP,UP,DEPARTURE,87635,S
DEPARTURE,2024-03-24 08:42:00,,2024-03-24 08:42:00,1,,,true,1,52051,2024-03-24 08:41:00,false,AUTOMATIC,, 2,30,false,529A13MD24,false,EARLY,22215003,30,52051,true,DOWN,DOWN,DEPARTURE,52049,D
ARRIVAL,2024-03-24 08:44:00,,2024-03-24 08:43:30,1,,,false,2,00000,2024-03-24 08:42:00,false,AUTOMATIC,, 2,88,false,879K131C24,false,EARLY,22742000,88,88473,true,DOWN,DOWN,ARRIVAL,88476,
DEPARTURE,,,2024-03-24 08:37:30,4,,,false,3,00000,2024-03-24 08:41:00,false,AUTOMATIC,, 2,88,false,871B80MB24,false,LATE,24748000,88,87936,true,DOWN,DOWN,DEPARTURE,87941,
ARRIVAL,,,2024-03-24 08:46:30,3,,,false,3,00000,2024-03-24 08:43:00,false,AUTOMATIC,,,20,false,365M07MC24,false,EARLY,21732000,20,36603,true,,,ARRIVAL,36605,
DEPARTURE,2024-03-24 08:42:00,,2024-03-24 08:42:00,1,,,true,2,51004,2024-03-24 08:41:00,false,AUTOMATIC,, 2,79,false,522D02MA24,false,EARLY,24936004,79,51004,true,DOWN,DOWN,DEPARTURE,50499,D
DEPARTURE,2024-03-24 08:42:00,,2024-03-24 08:42:00,1,,,true,4,51351,2024-03-24 08:41:00,false,AUTOMATIC,, 2,79,false,522B06MC24,false,EARLY,21936004,79,51351,true,DOWN,DOWN,DEPARTURE,51305,D
ARRIVAL,2024-03-24 08:43:00,,2024-03-24 08:42:30,1,,,true,1,51023,2024-03-24 08:43:00,false,AUTOMATIC,, 2,79,false,522D04MB24,false,LATE,24936004,79,51023,true,DOWN,DOWN,ARRIVAL,51016,
ARRIVAL,2024-03-24 08:45:00,,2024-03-24 08:43:00,1,,,true,,73003,2024-03-24 08:42:00,false,AUTOMATIC,,,33,true,889Y44MC24,false,EARLY,21382001,33,73003,true,DOWN,DOWN,DESTINATION,,
DEPARTURE,,,2024-03-24 08:30:30,12,,,false,6,00000,2024-03-24 08:42:00,false,AUTOMATIC,, 6,29,false,702K94MB24,false,LATE,22209000,29,72021,true,UP,UP,DEPARTURE,72268,S
DEPARTURE,2024-03-24 08:41:00,,2024-03-24 08:41:00,1,,,false,3,00000,2024-03-24 08:40:00,false,AUTOMATIC,, 2,23,false,172L01MD24,false,EARLY,11802820,23,17189,true,UP,UP,DEPARTURE,17192,M
DEPARTURE,2024-03-24 08:42:00,,2024-03-24 08:42:00,1,,,true,2,54299,2024-03-24 08:41:00,false,AUTOMATIC,, 9,88,false,542F12MD24,false,EARLY,21724000,88,54299,true,DOWN,DOWN,DEPARTURE,54297,M
