event_type,gbtt_timestamp,original_loc_stanox,planned_timestamp,timetable_variation,original_loc_timestamp,current_train_id,delay_monitoring_point,next_report_run_time,reporting_stanox,actual_timestamp,correction_ind,event_source,train_file_address,platform,division_code,train_terminated,train_id,offroute_ind,variation_status,train_service_code,toc_id,loc_stanox,auto_expected,direction_ind,route,planned_event_type,next_report_stanox,line_ind
DEPARTURE,2024-03-24 01:13:00,,2024-03-24 01:13:00,1,,,true,3,88451,2024-03-24 01:12:00,false,AUTOMATIC,, 4,80,false,882S80M024,false,EARLY,24655005,80,88451,true,DOWN,DOWN,DEPARTURE,88481,S
ARRIVAL,2024-03-24 01:13:00,,2024-03-24 01:12:30,1,,,false,1,00000,2024-03-24 01:13:00,false,AUTOMATIC,, 2,80,false,872N80N923,false,LATE,24606004,80,89406,true,DOWN,DOWN,ARRIVAL,89407,
DEPARTURE,2024-03-24 01:14:00,,2024-03-24 01:14:30,2,,,false,1,00000,2024-03-24 01:12:00,false,AUTOMATIC,, 2,30,false,529I05M024,false,EARLY,22215003,30,52090,true,DOWN,DOWN,DEPARTURE,87566,
ARRIVAL,2024-03-24 01:03:00,,2024-03-24 01:03:00,10,,,true,1,51013,2024-03-24 01:13:00,false,AUTOMATIC,, 3,79,false,522R74M923,false,LATE,27936004,79,51013,true,DOWN,DOWN,ARRIVAL,51011,
ARRIVAL,2024-03-24 01:14:00,,2024-03-24 01:14:00,0,,,true,1,52074,2024-03-24 01:14:00,false,AUTOMATIC,, 4,30,false,529I07M124,false,ON TIME,22215003,30,52074,true,DOWN,DOWN,ARRIVAL,52078,D
DEPARTURE,,,2024-03-24 01:01:00,12,,,true,2,87169,2024-03-24 01:13:00,false,AUTOMATIC,, 4,84,false,871F83M024,false,LATE,24673605,84,87169,true,DOWN,DOWN,DEPARTURE,87171,F
DEPARTURE,2024-03-24 01:21:00,,2024-03-24 01:21:00,9,,,false,2,00000,2024-03-24 01:12:00,false,AUTOMATIC,I67,,54,false,656G521823,false,EARLY,54761100,54,70298,true,DOWN,DOWN,DEPARTURE,70265,S
ARRIVAL,,,2024-03-24 01:08:30,6,,,true,1,54238,2024-03-24 01:14:00,false,AUTOMATIC,,,88,false,545E49M124,false,LATE,22788002,88,54238,true,,,ARRIVAL,54202,
DEPARTURE,,,2024-03-24 01:02:00,11,,,false,1,00000,2024-03-24 01:13:00,false,AUTOMATIC,,,84,false,872U81M024,false,LATE,24671105,84,87125,true,DOWN,DOWN,DEPARTURE,87140,
ARRIVAL,,,,0,,,false,,,2024-03-24 01:14:00,false,AUTOMATIC,,,84,false,875H86M124,true,OFF ROUTE,24676004,84,87158,,,,ARRIVAL,,
